seed,config,model,group,threshold,pos_label,n_test,pos_rate_test,tp,tn,fp,fn,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,fit_seconds
44,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2171,34970,7022,837,0.7772598466070538,0.23615794626346132,0.7217420212765957,0.3558724694697156,0.8590531539315492,0.3783656457870262,6.138300895690918
44,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2168,34825,7167,840,0.7750346570572713,0.23224424209962508,0.7207446808510638,0.3512922304139998,0.85964088144449,0.385672763279872,18.91818594932556
44,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,2007,36501,5491,1001,0.7682288711020944,0.2676713790344092,0.667220744680851,0.38206739006282125,0.857357011771239,0.37206291470685876,0.4659440517425537
45,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2189,32685,9307,819,0.7530443045382504,0.19041405706332637,0.7277260638297872,0.3018477661334804,0.8349711621869211,0.3370432196674953,2.5430526733398438
45,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2164,33097,8895,844,0.7537944157549766,0.1956777285468849,0.7194148936170213,0.30767043434989694,0.8310276987599968,0.330647882513983,0.6255102157592773
45,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2158,31516,10476,850,0.7339720610410088,0.17080892828874467,0.7174202127659575,0.27592379491113667,0.8057803618812398,0.27283082887066057,0.25704503059387207
45,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2182,34955,7037,826,0.7789096986052055,0.23668510684456015,0.7253989361702128,0.3569150241269322,0.8600445566759424,0.37889748737048845,6.206256151199341
45,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2139,35212,6780,869,0.7748221989092148,0.2398250924991591,0.7111037234042553,0.35868198205751656,0.8588442861013547,0.37746050853811514,19.01460289955139
45,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,2002,36471,5521,1006,0.7670405431835041,0.2661172404625814,0.6655585106382979,0.3802108061912449,0.858891973597808,0.3739178078823671,0.4745519161224365
46,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2201,32591,9401,807,0.7539197245777312,0.1897086709188071,0.7317154255319149,0.30130047912388774,0.830694424634581,0.32779149335394486,2.0151944160461426
46,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2025,34734,7258,983,0.7501811705269088,0.21814068727781968,0.6732047872340425,0.3295093971198438,0.8297276078485568,0.32538313937523544,0.623035192489624
46,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2175,31536,10456,833,0.7370359995115585,0.17219539228881323,0.7230718085106383,0.2781507769038941,0.8015073848602874,0.2717411011981885,0.2315235137939453
46,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2134,35199,6793,874,0.7738362904991022,0.23905007281281507,0.7094414893617021,0.3576036866359447,0.855022414508792,0.36596670226676375,6.086713790893555
46,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2101,35569,6423,907,0.7727565192255466,0.24648052557484748,0.698470744680851,0.3643773846687478,0.8558058202828907,0.37090211671377804,18.84231948852539
46,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1965,36524,5468,1043,0.7615213498113116,0.2643616305663931,0.6532579787234043,0.3764007278996265,0.8536819117395208,0.3602872895050874,0.4553244113922119
47,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2182,32732,9260,826,0.7524403711142549,0.19070092641146652,0.7253989361702128,0.3020069204152249,0.8320080653343798,0.3280969659395043,1.9365592002868652
47,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2079,34208,7784,929,0.7528941366237946,0.21078779276082327,0.691156914893617,0.32305182192525833,0.8272749259420741,0.32745795370684433,0.6209762096405029
47,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2161,31568,10424,847,0.7350898968091186,0.17171235597934048,0.7184175531914894,0.2771756557429616,0.8031187883938379,0.265461980117335,0.23497438430786133
47,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2103,35311,6681,905,0.7700169523171587,0.23941256830601093,0.6991356382978723,0.3566824966078697,0.8552087666521081,0.36336663859785423,6.093137979507446
47,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2113,35169,6823,895,0.7699883881124268,0.23645926589077887,0.7024601063829787,0.35381781647689214,0.8544793185657449,0.3694818855650014,19.511149406433105
47,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1932,36882,5110,1076,0.7602986941788303,0.27435387673956263,0.6422872340425532,0.3844776119402985,0.8532023054416646,0.36024773667788995,0.4776761531829834
48,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2161,32567,9425,847,0.7469850196896674,0.18651821163473156,0.7184175531914894,0.2961491023708373,0.8253643661989314,0.3154699127352365,2.543203592300415
48,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,1949,35375,6617,1059,0.7451805979761089,0.22752743404155965,0.647938829787234,0.3367893554518749,0.8266662819577084,0.3201819811437968,0.6260330677032471
48,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2155,31617,10375,853,0.7346760008491993,0.17198723064644852,0.7164228723404256,0.27738447676663663,0.801530157846682,0.2682314859468454,0.245589017868042
48,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2094,35321,6671,914,0.7686400119779654,0.23890473474044496,0.6961436170212766,0.35572921090631104,0.8548843713392217,0.3638021745679472,6.12871789932251
48,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2120,35052,6940,888,0.7697588294426903,0.23399558498896247,0.7047872340425532,0.3513423931057342,0.8558053413099456,0.3696724521636649,19.483290672302246
48,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1893,36868,5124,1115,0.7536492829941266,0.2697734074390765,0.6293218085106383,0.3776558603491272,0.8522054479475321,0.35668393038451224,0.46832942962646484
49,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2188,32853,9139,820,0.7548784621589523,0.19316676966540125,0.7273936170212766,0.3052668294384374,0.833698178769107,0.330993879891383,1.9034934043884277
49,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2093,34067,7925,915,0.7535423730659943,0.2089239369135556,0.695811170212766,0.3213572854291417,0.826768600079093,0.31702330853642735,0.6275708675384521
49,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2171,31638,10354,837,0.737585622945404,0.17333333333333334,0.7217420212765957,0.2795338955771583,0.8035710734415472,0.2672311413508805,0.256986141204834
